,League,Round,Week,Year,Date,Local,Visitor,Goalslocal,Goalsvisitor,Result
3402,england,,16,2023,2023-04-17,Leeds Utd,Liverpool,1,6,v
3403,italy,,16,2023,2023-04-17,Fiorentina,Atalanta,1,1,t
3404,mexico,,16,2023,2023-04-17,Monterrey,Santos Laguna,1,2,v
3405,portugal,,16,2023,2023-04-17,Vizela,Boavista,1,1,t
3406,spain,,16,2023,2023-04-17,Celta Vigo,Mallorca,0,1,v
3407,netherlands,,16,2023,2023-04-19,Go Ahead Eagles,RKC Waalwijk,3,2,l
3408,england,,16,2023,2023-04-21,Arsenal,Southampton,3,3,t
3409,england,,16,2023,2023-04-21,Manchester Utd,Chelsea,,,
3410,france,,16,2023,2023-04-21,Angers,Paris SG,1,2,v
3411,germany,,16,2023,2023-04-21,FC Augsburg,Stuttgart,1,1,t
3412,italy,,16,2023,2023-04-21,Hellas Verona,Bologna,2,1,l
3413,mexico,,16,2023,2023-04-21,Tigres,Puebla,1,0,l
3414,netherlands,,16,2023,2023-04-21,FC Volendam,Cambuur,2,0,l
3415,portugal,,16,2023,2023-04-21,Casa Pia,Sporting Braga,0,1,v
3416,spain,,16,2023,2023-04-21,Espanyol,Cadiz,0,0,t
3417,england,,16,2023,2023-04-22,Brentford,Aston Villa,1,1,t
3418,england,,16,2023,2023-04-22,Brighton,Manchester City,,,
3419,england,,16,2023,2023-04-22,Crystal Palace,Everton,0,0,t
3420,england,,16,2023,2023-04-22,Fulham,Leeds Utd,2,1,l
3421,england,,16,2023,2023-04-22,Leicester City,Wolverhampton,2,1,l
3422,england,,16,2023,2023-04-22,Liverpool,Nottm Forest,3,2,l
3423,france,,16,2023,2023-04-22,Auxerre,Lille,1,1,t
3424,france,,16,2023,2023-04-22,Lens,Monaco,3,0,l
3425,germany,,16,2023,2023-04-22,Bochum,Wolfsburg,1,5,v
3426,germany,,16,2023,2023-04-22,Dortmund,E. Frankfurt,4,0,l
3427,germany,,16,2023,2023-04-22,FSV Mainz,Bayern Munich,3,1,l
3428,germany,,16,2023,2023-04-22,Hertha Berlin,Werder Bremen,2,4,v
3429,germany,,16,2023,2023-04-22,Hoffenheim,FC Koln,1,3,v
3430,italy,,16,2023,2023-04-22,Lazio,Torino,0,1,v
3431,italy,,16,2023,2023-04-22,Salernitana,Sassuolo,3,0,l
3432,italy,,16,2023,2023-04-22,Sampdoria,Spezia,1,1,t
3433,mexico,,16,2023,2023-04-22,Mazatlan,Monterrey,0,2,v
3434,mexico,,16,2023,2023-04-22,Necaxa,Atlas,1,3,v
3435,mexico,,16,2023,2023-04-22,Pachuca,A. San Luis,2,1,l
3436,mexico,,16,2023,2023-04-22,Tijuana,Club Leon,0,0,t
3437,netherlands,,16,2023,2023-04-22,FC Groningen,NEC Nijmegen,,,
3438,netherlands,,16,2023,2023-04-22,Heerenveen,FC Emmen,2,3,v
3439,netherlands,,16,2023,2023-04-22,Vitesse Arnhem,Excelsior,0,0,t
3440,portugal,,16,2023,2023-04-22,Boavista,Rio Ave,3,2,l
3441,portugal,,16,2023,2023-04-22,Famalicao,Maritimo,3,2,l
3442,portugal,,16,2023,2023-04-22,Pacos Ferreira,FC Porto,0,2,v
3443,spain,,16,2023,2023-04-22,Almeria,Athletic Bilbao,1,2,v
3444,spain,,16,2023,2023-04-22,Osasuna,Real Betis,3,2,l
3445,spain,,16,2023,2023-04-22,Real Madrid,Celta Vigo,2,0,l
3446,spain,,16,2023,2023-04-22,Real Sociedad,Rayo Vallecano,2,1,l
3447,spain,,16,2023,2023-04-22,Valladolid,Girona,1,0,l
3448,england,,16,2023,2023-04-23,Bournemouth,West Ham Utd,0,4,v
3449,england,,16,2023,2023-04-23,Newcastle Utd,Tottenham,6,1,l
3450,france,,16,2023,2023-04-23,AC Ajaccio,Brest,0,0,t
3451,france,,16,2023,2023-04-23,Lorient,Toulouse,0,1,v
3452,france,,16,2023,2023-04-23,Lyon,Marseille,,,
3453,france,,16,2023,2023-04-23,Montpellier,Rennes,1,0,l
3454,france,,16,2023,2023-04-23,Nantes,Troyes,2,2,t
3455,france,,16,2023,2023-04-23,Nice,Clermont,1,2,v
3456,france,,16,2023,2023-04-23,Reims,Strasbourg,0,2,v
3457,germany,,16,2023,2023-04-23,Freiburg,Schalke 04,4,0,l
3458,germany,,16,2023,2023-04-23,Leverkusen,RB Leipzig,2,0,l
3459,germany,,16,2023,2023-04-23,Monchengladbach,Union Berlin,0,1,v
3460,italy,,16,2023,2023-04-23,AC Milan,Lecce,2,0,l
3461,italy,,16,2023,2023-04-23,Empoli,Inter Milan,0,3,v
3462,italy,,16,2023,2023-04-23,Juventus,Napoli,,,
3463,italy,,16,2023,2023-04-23,Monza,Fiorentina,3,2,l
3464,italy,,16,2023,2023-04-23,Udinese,Cremonese,3,0,l
3465,mexico,,16,2023,2023-04-23,CF America,Pumas UNAM,1,1,t
3466,mexico,,16,2023,2023-04-23,Guadalajara,Cruz Azul,2,1,l
3467,mexico,,16,2023,2023-04-23,Toluca,Juarez,,,
3468,netherlands,,16,2023,2023-04-23,AZ Alkmaar,RKC Waalwijk,3,0,l
3469,netherlands,,16,2023,2023-04-23,FC Twente,Sparta,3,3,t
3470,netherlands,,16,2023,2023-04-23,Feyenoord,FC Utrecht,3,1,l
3471,netherlands,,16,2023,2023-04-23,Go Ahead Eagles,Fortuna Sittard,2,0,l
3472,netherlands,,16,2023,2023-04-23,PSV Eindhoven,Ajax Amsterdam,3,0,l
3473,portugal,,16,2023,2023-04-23,Arouca,Vizela,,,
3474,portugal,,16,2023,2023-04-23,Benfica,Estoril,1,0,l
3475,portugal,,16,2023,2023-04-23,Portimonense,Gil Vicente,1,0,l
3476,portugal,,16,2023,2023-04-23,Santa Clara,Chaves,1,1,t
3477,spain,,16,2023,2023-04-23,Elche,Valencia,0,2,v
3478,spain,,16,2023,2023-04-23,FC Barcelona,Atletico Madrid,1,0,l
3479,spain,,16,2023,2023-04-23,Mallorca,Getafe,3,1,l
3480,spain,,16,2023,2023-04-23,Sevilla FC,Villarreal,,,
